entry_date,exit_date,option_ticker,entry_price,exit_price,pnl_w_slippage
2024-01-10,2024-01-11,O:SPY240111P00476000,1.22,0.52,-0.63
2024-01-11,2024-01-12,O:SPY240112P00476000,0.96,0.4,-0.504
2024-01-12,2024-01-16,O:SPY240116C00476000,1.39,0.66,-0.6569999999999999
2024-01-16,2024-01-17,O:SPY240117P00474000,0.71,2.57,1.674
2024-01-17,2024-01-18,O:SPY240118P00472000,1.07,0.35,-0.6480000000000001
2024-01-18,2024-01-19,O:SPY240119P00476000,1.09,0.52,-0.5130000000000001
2024-01-19,2024-01-22,O:SPY240122C00482000,1.45,2.2,0.6750000000000003
2024-01-22,2024-01-23,O:SPY240123C00483000,1.33,1.52,0.17099999999999996
2024-01-23,2024-01-24,O:SPY240124C00484000,1.83,3.85,1.818
2024-01-24,2024-01-25,O:SPY240125C00485000,1.22,2.74,1.3680000000000003
2024-01-25,2024-01-26,O:SPY240126C00488000,1.23,0.91,-0.288
2024-01-26,2024-01-29,O:SPY240129C00487000,1.26,1.29,0.027000000000000024
2024-01-29,2024-01-30,O:SPY240130C00491000,1.2,0.91,-0.26099999999999995
2024-01-30,2024-01-31,O:SPY240131P00490000,1.47,2.22,0.6750000000000003
2024-01-31,2024-02-01,O:SPY240201P00482000,1.09,0.59,-0.4500000000000001
2024-02-01,2024-02-02,O:SPY240202C00489000,2.65,1.7,-0.855
2024-02-02,2024-02-05,O:SPY240205P00494000,1.22,1.23,0.009000000000000008
2024-02-05,2024-02-06,O:SPY240206P00492000,0.89,0.4,-0.441
2024-02-06,2024-02-07,O:SPY240207C00493000,1.42,3.37,1.7550000000000001
2024-02-07,2024-02-08,O:SPY240208P00498000,1.04,0.92,-0.108
2024-02-08,2024-02-09,O:SPY240209P00498000,0.95,0.73,-0.19799999999999998
2024-02-09,2024-02-12,O:SPY240212C00501000,1.16,0.91,-0.2249999999999999
2024-02-12,2024-02-13,O:SPY240213P00500000,1.48,5.52,3.6359999999999992
2024-02-13,2024-02-14,O:SPY240214P00494000,1.41,0.29,-1.008
2024-02-14,2024-02-15,O:SPY240215P00498000,0.79,0.58,-0.18900000000000008
2024-02-15,2024-02-16,O:SPY240216P00502000,1.26,1.46,0.17999999999999997
2024-02-16,2024-02-20,O:SPY240220P00499000,1.38,1.75,0.33300000000000013
2024-02-20,2024-02-21,O:SPY240221P00496000,1.64,1.89,0.225
2024-02-21,2024-02-22,O:SPY240222C00497000,2.18,7.1,4.428
2024-02-22,2024-02-23,O:SPY240223P00507000,1.23,0.31,-0.828
2024-02-23,2024-02-26,O:SPY240226P00507000,0.87,0.48,-0.35100000000000003
2024-02-26,2024-02-27,O:SPY240227C00505000,1.64,2.0,0.3240000000000001
2024-02-27,2024-02-28,O:SPY240228C00506000,1.83,0.62,-1.089
2024-02-28,2024-02-29,O:SPY240229P00506000,1.8,0.5,-1.1700000000000002
2024-02-29,2024-03-01,O:SPY240301P00508000,1.09,0.73,-0.3240000000000001
2024-03-01,2024-03-04,O:SPY240304C00512000,1.36,0.85,-0.45900000000000013
2024-03-04,2024-03-05,O:SPY240305P00512000,1.01,2.01,0.8999999999999998
2024-03-05,2024-03-06,O:SPY240306C00507000,1.95,3.87,1.7280000000000002
2024-03-06,2024-03-07,O:SPY240307C00509000,2.07,4.22,1.935
2024-03-07,2024-03-08,O:SPY240308C00514000,2.05,2.12,0.06300000000000026
2024-03-08,2024-03-11,O:SPY240311P00511000,0.87,1.53,0.5940000000000001
2024-03-11,2024-03-12,O:SPY240312C00511000,2.75,3.04,0.26100000000000007
2024-03-12,2024-03-13,O:SPY240313P00516000,1.85,0.5,-1.215
2024-03-13,2024-03-14,O:SPY240314C00515000,2.36,2.37,0.009000000000000207
2024-03-14,2024-03-15,O:SPY240315P00514000,1.88,3.87,1.7910000000000001
2024-03-15,2024-03-18,O:SPY240318P00509000,1.1,0.1,-0.9
2024-03-18,2024-03-19,O:SPY240319P00512000,1.08,1.11,0.027000000000000024
2024-03-19,2024-03-20,O:SPY240320P00515000,1.59,1.57,-0.018000000000000016
2024-03-20,2024-03-21,O:SPY240321P00520000,0.79,0.13,-0.5940000000000001
2024-03-21,2024-03-22,O:SPY240322P00522000,0.9,0.88,-0.018000000000000016
2024-03-22,2024-03-25,O:SPY240325P00521000,1.08,1.41,0.2969999999999999
2024-03-25,2024-03-26,O:SPY240326P00519000,0.59,0.17,-0.37799999999999995
2024-03-26,2024-03-27,O:SPY240327C00518000,2.04,3.73,1.521
2024-03-27,2024-03-28,O:SPY240328C00523000,1.3,1.08,-0.19799999999999998
2024-03-28,2024-04-01,O:SPY240401C00523000,1.37,1.27,-0.09000000000000008
2024-04-01,2024-04-02,O:SPY240402C00522000,1.16,0.08,-0.9719999999999999
2024-04-02,2024-04-03,O:SPY240403P00518000,0.78,1.18,0.35999999999999993
2024-04-03,2024-04-04,O:SPY240404P00519000,0.73,0.06,-0.603
2024-04-04,2024-04-05,O:SPY240405P00513000,2.2,1.17,-0.9270000000000003
2024-04-05,2024-04-08,O:SPY240408P00518000,1.54,0.7,-0.7560000000000001
2024-04-08,2024-04-09,O:SPY240409P00518000,0.76,0.24,-0.468
2024-04-09,2024-04-10,O:SPY240410C00519000,2.97,0.22,-2.475
2024-04-10,2024-04-11,O:SPY240411P00514000,2.3,0.9,-1.26
2024-04-11,2024-04-12,O:SPY240412P00518000,1.48,3.91,2.1870000000000003
2024-04-12,2024-04-15,O:SPY240415P00510000,1.9,0.23,-1.503
2024-04-15,2024-04-16,O:SPY240416P00504000,2.27,1.51,-0.684
2024-04-16,2024-04-17,O:SPY240417C00503000,2.35,3.64,1.161
