entry_date,exit_date,option_ticker,entry_price,exit_price,pnl_w_slippage
2021-01-12,2021-01-13,O:SPY210113P00378000,0.93,0.75,-0.16200000000000006
2021-01-13,2021-01-14,O:SPY210115C00379000,2.34,2.53,0.17099999999999996
2021-01-14,2021-01-15,O:SPY210115C00378000,1.79,0.54,-1.125
2021-01-19,2021-01-20,O:SPY210120C00378000,1.69,3.41,1.5480000000000003
2021-01-26,2021-01-27,O:SPY210127P00383000,0.8,3.29,2.241
2021-01-28,2021-01-29,O:SPY210129P00377000,1.87,2.53,0.5939999999999998
2021-01-29,2021-02-01,O:SPY210201P00370000,3.37,0.75,-2.358
2021-02-02,2021-02-03,O:SPY210203P00381000,1.01,0.63,-0.342
2021-02-18,2021-02-19,O:SPY210219C00390000,1.76,2.52,0.684
2021-02-19,2021-02-22,O:SPY210222P00390000,1.57,3.08,1.359
2021-02-23,2021-02-24,O:SPY210224P00387000,1.45,1.76,0.2790000000000001
2021-03-17,2021-03-18,O:SPY210319C00397000,1.62,0.44,-1.0620000000000003
2021-05-11,2021-05-12,O:SPY210512P00414000,1.98,3.24,1.1340000000000003
2021-05-13,2021-05-14,O:SPY210514C00410000,1.84,3.58,1.566
2021-05-19,2021-05-20,O:SPY210521P00410000,2.1,1.16,-0.8460000000000002
2021-06-03,2021-06-04,O:SPY210604P00418000,1.03,0.27,-0.684
2021-07-07,2021-07-08,O:SPY210709C00434000,1.53,0.26,-1.143
2021-07-13,2021-07-14,O:SPY210714P00435000,0.93,0.18,-0.675
2021-07-22,2021-07-23,O:SPY210723C00435000,1.4,2.7,1.1700000000000004
2021-10-11,2021-10-12,O:SPY211013C00434000,2.82,3.15,0.2970000000000001
2021-11-29,2021-11-30,O:SPY211201C00464000,2.94,1.55,-1.251
2021-11-30,2021-12-01,O:SPY211201C00455000,3.98,6.64,2.3939999999999997
2021-12-01,2021-12-02,O:SPY211203P00450000,3.95,3.62,-0.2970000000000001
2021-12-06,2021-12-07,O:SPY211208C00458000,3.53,7.08,3.1950000000000003
2021-12-10,2021-12-13,O:SPY211213C00470000,1.87,1.28,-0.5310000000000001
2021-12-14,2021-12-15,O:SPY211215P00463000,2.18,1.7,-0.4320000000000002
2021-12-20,2021-12-21,O:SPY211222C00454000,4.4,5.68,1.1519999999999995
2022-01-12,2022-01-13,O:SPY220114P00471000,2.0,1.45,-0.49500000000000005
2022-01-18,2022-01-19,O:SPY220119P00456000,2.12,1.04,-0.9720000000000001
2022-01-21,2022-01-24,O:SPY220124P00437000,3.23,5.0,1.593
2022-01-26,2022-01-27,O:SPY220128C00433000,5.1,7.78,2.412000000000001
2022-02-18,2022-02-22,O:SPY220222C00434000,4.06,1.54,-2.268
2022-02-22,2022-02-23,O:SPY220223C00429000,4.15,4.62,0.42299999999999977
2022-02-23,2022-02-24,O:SPY220225C00421000,4.77,1.25,-3.1679999999999997
2022-02-24,2022-02-25,O:SPY220225C00428000,2.22,3.43,1.089
2022-02-28,2022-03-01,O:SPY220302P00436000,3.7,4.46,0.6839999999999998
2022-03-02,2022-03-03,O:SPY220304C00437000,4.16,5.54,1.242
2022-03-04,2022-03-07,O:SPY220307P00432000,3.62,2.63,-0.8910000000000002
2022-03-07,2022-03-08,O:SPY220309C00419000,4.81,4.7,-0.09899999999999949
2022-03-08,2022-03-09,O:SPY220309C00416000,3.04,9.0,5.364
2022-03-14,2022-03-15,O:SPY220316C00417000,5.11,5.93,0.7379999999999994
2022-03-18,2022-03-21,O:SPY220321C00444000,2.89,1.87,-0.918
2022-04-01,2022-04-04,O:SPY220404C00452000,1.77,1.97,0.17999999999999997
2022-04-05,2022-04-06,O:SPY220406P00451000,1.64,1.94,0.2700000000000001
2022-04-11,2022-04-12,O:SPY220413C00439000,3.78,5.29,1.3590000000000002
2022-04-21,2022-04-22,O:SPY220422P00438000,2.08,2.3,0.1979999999999998
